연도,월,일,시간,지역,태양광발전량(MWh)
2022,12,1,14,전라남도,605.25
2022,12,1,15,전라남도,513.02
2022,12,1,16,전라남도,322.6
2022,12,1,17,전라남도,176.47
2022,12,1,18,전라남도,344.46
2022,12,1,19,전라남도,418.65
2022,12,1,20,전라남도,440.95
2022,12,1,21,전라남도,343.95
2022,12,1,22,전라남도,147.44
2022,12,1,23,전라남도,53.42
2022,12,1,24,전라남도,18.26
2022,12,1,1,전라북도,0.75
2022,12,1,2,전라북도,0.45
2022,12,1,3,전라북도,0.46
2022,12,1,4,전라북도,0.19
2022,12,1,5,전라북도,0.04
2022,12,1,6,전라북도,0
2022,12,1,7,전라북도,0
2022,12,1,8,전라북도,5.71
2022,12,1,9,전라북도,65.29
2022,12,1,10,전라북도,188.88
2022,12,1,11,전라북도,386.3
2022,12,1,12,전라북도,449.19
2022,12,1,13,전라북도,452.72
2022,12,1,14,전라북도,424.95
2022,12,1,15,전라북도,365.19
2022,12,1,16,전라북도,210.09
2022,12,1,17,전라북도,50.48
2022,12,1,18,전라북도,30.53
2022,12,1,19,전라북도,47.64
2022,12,1,20,전라북도,63.12
2022,12,1,21,전라북도,54.2
2022,12,1,22,전라북도,39.25
2022,12,1,23,전라북도,21.75
2022,12,1,24,전라북도,5.9
2022,12,1,1,충청남도,3.26
2022,12,1,2,충청남도,0.44
2022,12,1,3,충청남도,0
2022,12,1,4,충청남도,0
2022,12,1,5,충청남도,0
2022,12,1,6,충청남도,0
2022,12,1,7,충청남도,0
2022,12,1,8,충청남도,2.15
2022,12,1,9,충청남도,65.11
2022,12,1,10,충청남도,268.36
2022,12,1,11,충청남도,323.61
2022,12,1,12,충청남도,371.23
2022,12,1,13,충청남도,348.47
2022,12,1,14,충청남도,315.69
2022,12,1,15,충청남도,240.67
2022,12,1,16,충청남도,129.51
2022,12,1,17,충청남도,69.61
2022,12,1,18,충청남도,68.81
2022,12,1,19,충청남도,96.83
2022,12,1,20,충청남도,106.08
2022,12,1,21,충청남도,77.32
